uniek_id,gml_id,gml_parent_id,gml_parent_property,geometrie,gid,identificatie,oppervlakte,status,gebruiksdoel,openbare_ruimte,huisnummer,huisletter,toevoeging,postcode,woonplaats,bouwjaar,pandidentificatie,pandstatus,rdf_seealso,fme_geometry,gml_pointProperty,gml_multiPointProperty,fme_geometry_0_,fme_geometry_1_,fme_geometry_2_,Straat,Huisnummer,Postcode
einsteindreef71 a ,verblijfsobject.bag:0344010000085011,,member,,6584300,0344010000085011,70,Verblijfsobject in gebruik,woonfunctie,Einsteindreef,71,A,,3562XT,Utrecht,1998,0344100000031288,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000085011,fme_point,,,,,,Einsteindreef,71 A,3562 XT
barnsteenlaan30  ,verblijfsobject.bag:0344010000085026,,member,,6584314,0344010000085026,109,Verblijfsobject in gebruik,woonfunctie,Barnsteenlaan,30,,,3523BD,Utrecht,1998,0344100000049761,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000085026,fme_point,,,,,,Barnsteenlaan,30,3523 BD
houtrakgracht528  ,verblijfsobject.bag:0344010000084702,,member,,6584346,0344010000084702,122,Verblijfsobject in gebruik,woonfunctie,Houtrakgracht,528,,,3544SE,Utrecht,1999,0344100000061981,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084702,fme_point,,,,,,Houtrakgracht,528,3544 SE
houtrakgracht552  ,verblijfsobject.bag:0344010000084709,,member,,6584358,0344010000084709,122,Verblijfsobject in gebruik,woonfunctie,Houtrakgracht,552,,,3544SE,Utrecht,1999,0344100000063921,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084709,fme_point,,,,,,Houtrakgracht,552,3544 SE
houtrakgracht562  ,verblijfsobject.bag:0344010000084713,,member,,6584361,0344010000084713,105,Verblijfsobject in gebruik,woonfunctie,Houtrakgracht,562,,,3544SE,Utrecht,1999,0344100000063921,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084713,fme_point,,,,,,Houtrakgracht,562,3544 SE
houtrakgracht574  ,verblijfsobject.bag:0344010000084717,,member,,6584365,0344010000084717,65,Verblijfsobject in gebruik,woonfunctie,Houtrakgracht,574,,,3544SE,Utrecht,1999,0344100000063921,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084717,fme_point,,,,,,Houtrakgracht,574,3544 SE
klifrakplantsoen98  ,verblijfsobject.bag:0344010000083791,,member,,6584421,0344010000083791,90,Verblijfsobject in gebruik,woonfunctie,Klifrakplantsoen,98,,,3544RB,Utrecht,1999,0344100000055143,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083791,fme_point,,,,,,Klifrakplantsoen,98,3544 RB
klifrakplantsoen104  ,verblijfsobject.bag:0344010000083951,,member,,6584424,0344010000083951,132,Verblijfsobject in gebruik,woonfunctie,Klifrakplantsoen,104,,,3544RB,Utrecht,1999,0344100000052990,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083951,fme_point,,,,,,Klifrakplantsoen,104,3544 RB
klifrakplantsoen158  ,verblijfsobject.bag:0344010000111597,,member,,6584451,0344010000111597,104,Verblijfsobject in gebruik,woonfunctie,Klifrakplantsoen,158,,,3544RC,Utrecht,1999,0344100000010132,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000111597,fme_point,,,,,,Klifrakplantsoen,158,3544 RC
klifrakplantsoen182  ,verblijfsobject.bag:0344010000083982,,member,,6584459,0344010000083982,117,Verblijfsobject in gebruik,woonfunctie,Klifrakplantsoen,182,,,3544RC,Utrecht,1999,0344100000078855,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083982,fme_point,,,,,,Klifrakplantsoen,182,3544 RC
kromme nieuwegracht48 b ,verblijfsobject.bag:0344010000082032,,member,,6584694,0344010000082032,124,Verblijfsobject in gebruik,woonfunctie,Kromme Nieuwegracht,48,B,,3512HJ,Utrecht,1900,0344100000014352,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082032,fme_point,,,,,,Kromme Nieuwegracht,48 B,3512 HJ
hooghiemstraplein11 e ,verblijfsobject.bag:0344010000082625,,member,,6584885,0344010000082625,75,Verblijfsobject in gebruik,woonfunctie,Hooghiemstraplein,11,E,,3514AX,Utrecht,1900,0344100000000170,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082625,fme_point,,,,,,Hooghiemstraplein,11 E,3514 AX
strosteeg2 a ,verblijfsobject.bag:0344010000125059,,member,,6584896,0344010000125059,65,Verblijfsobject in gebruik,woonfunctie,Strosteeg,2,A,,3511NE,Utrecht,1800,0344100000040380,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000125059,fme_point,,,,,,Strosteeg,2 A,3511 NE
zijlsterraklaan9  ,verblijfsobject.bag:0344010000111778,,member,,6584984,0344010000111778,82,Verblijfsobject in gebruik,woonfunctie,Zijlsterraklaan,9,,,3544ST,Utrecht,1999,0344100000079942,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000111778,fme_point,,,,,,Zijlsterraklaan,9,3544 ST
zijlsterraklaan15  ,verblijfsobject.bag:0344010000087659,,member,,6584988,0344010000087659,91,Verblijfsobject in gebruik,woonfunctie,Zijlsterraklaan,15,,,3544ST,Utrecht,1999,0344100000079942,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087659,fme_point,,,,,,Zijlsterraklaan,15,3544 ST
zijlsterraklaan17  ,verblijfsobject.bag:0344010000087661,,member,,6584990,0344010000087661,82,Verblijfsobject in gebruik,woonfunctie,Zijlsterraklaan,17,,,3544ST,Utrecht,1999,0344100000079942,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087661,fme_point,,,,,,Zijlsterraklaan,17,3544 ST
adriaan menninckkwartier15  ,verblijfsobject.bag:0344010000087690,,member,,6585017,0344010000087690,108,Verblijfsobject in gebruik,woonfunctie,Adriaan Menninckkwartier,15,,,3554CS,Utrecht,1998,0344100000058114,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087690,fme_point,,,,,,Adriaan Menninckkwartier,15,3554 CS
johannes de bekastraat47 b ,verblijfsobject.bag:0344010000154390,,member,,6585129,0344010000154390,42,Verblijfsobject in gebruik,woonfunctie,Johannes de Bekastraat,47,B,,3514VK,Utrecht,1915,0344100000063841,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000154390,fme_point,,,,,,Johannes de Bekastraat,47 B,3514 VK
houtrakgracht504  ,verblijfsobject.bag:0344010000084620,,member,,6585167,0344010000084620,105,Verblijfsobject in gebruik,woonfunctie,Houtrakgracht,504,,,3544SE,Utrecht,1999,0344100000073554,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084620,fme_point,,,,,,Houtrakgracht,504,3544 SE
slingeraklaan192  ,verblijfsobject.bag:0344010000084798,,member,,6585187,0344010000084798,129,Verblijfsobject in gebruik,woonfunctie,Slingeraklaan,192,,,3544WH,Utrecht,1999,0344100000035007,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000084798,fme_point,,,,,,Slingeraklaan,192,3544 WH
monnikeraklaan4  ,verblijfsobject.bag:0344010000081524,,member,,6585521,0344010000081524,128,Verblijfsobject in gebruik,woonfunctie,Monnikeraklaan,4,,,3544TG,Utrecht,2000,0344100000010018,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000081524,fme_point,,,,,,Monnikeraklaan,4,3544 TG
