"title","price","sold_at_date"
"Verkocht: Van den Boschstraat 11 3531 GK Utrecht [funda]","375000","20 mei 2020"
"Verkocht: Amp�restraat 69 3553 CK Utrecht [funda]","400000","26 juni 2020"
"Verkocht: Bremstraat 22 3551 TD Utrecht [funda]","325000","29 mei 2020"
"Verkocht: Albert van Dalsumlaan 215 3584 HD Utrecht [funda]","389000","24 april 2020"
"Verkocht: Zandhofsestraat 47 A 3572 GB Utrecht [funda]","249000","29 mei 2020"
"Verkocht: Havikstraat 61 bis 3514 TN Utrecht [funda]","500000","25 juni 2020"
"Verkocht: Miles Davisstraat 223 3543 GT Utrecht [funda]","325000","22 mei 2020"
"Verkocht: Linschotensingel 1 EE 3525 XA Utrecht [funda]","265000","20 mei 2020"
"Verkocht: Burgemeester Verderlaan 8 3544 AD Utrecht [funda]","575000","29 mei 2020"
"Verkocht: Klaroenlaan 17 3525 GH Utrecht [funda]","275000","13 mei 2020"
"Verkocht: Van Limburg Brouwerstraat 18 3532 TT Utrecht [funda]","525000","19 mei 2020"
"Verkocht: Scheldestraat 44 3522 CE Utrecht [funda]","415000","11 juni 2020"
"Verkocht: Pablo (Bouwnr. 31) 3544 NW Utrecht [funda]","334000","26 juni 2020"
"Verkocht: Hooft Graaflandstraat 205 3525 VT Utrecht [funda]","475000","15 juni 2020"
"Verkocht: Chopinstraat 28 3533 EN Utrecht [funda]","549000","12 juni 2020"
"Verkocht: Amaliastraat 84 3522 AW Utrecht [funda]","335000","18 juni 2020"
"Verkocht: Kruisweg 3 3513 CS Utrecht [funda]","349000","25 mei 2020"
"Verkocht: Bataviastraat 24 bis 3531 XE Utrecht [funda]","250000","17 juni 2020"
"Verkocht: Alendorperweg 102 3544 MM Utrecht [funda]","525000","23 juni 2020"
"Verkocht: Johannes Vermeerstraat 8 3583 RM Utrecht [funda]","459000","27 mei 2020"
"Verkocht: Talmalaan 131 3515 CX Utrecht [funda]","600000","29 juni 2020"
"Verkocht: Croesestraat 63 3522 AC Utrecht [funda]","650000","15 juni 2020"
"Verkocht: Thinsstraat 1 A 3581 EP Utrecht [funda]","335000","25 juni 2020"
"Verkocht: Wittevrouwenstraat 23 a 3512 CS Utrecht [funda]","315000","14 juni 2020"
"Verkocht: Irving Berlinhof 4 3543 CS Utrecht [funda]","595000","23 juni 2020"
"Verkocht: F.C. Dondersstraat 4 A 3572 JG Utrecht [funda]","400000","19 juni 2020"
"Verkocht: Visarendhof 4 3582 DR Utrecht [funda]","600000","24 april 2020"
"Verkocht: Twijnstraat aan de Werf 1 H 3511 ZE Utrecht [funda]","1275000","15 juni 2020"
"Verkocht: Prof. Wentlaan 40 3571 GD Utrecht [funda]","645000","12 april 2020"
"Verkocht: Pablo (Bouwnr. 9) 3544 NW Utrecht [funda]","312000","23 juni 2020"
"Verkocht: Pablo (Bouwnr. 19) 3544 NW Utrecht [funda]","310500","22 juni 2020"
"Verkocht: Pablo (Bouwnr. 17) 3544 NW Utrecht [funda]","307500","22 juni 2020"
"Verkocht: Pablo (Bouwnr. 30) 3544 NW Utrecht [funda]","334000","23 juni 2020"
"Verkocht: Pablo (Bouwnr. 16) 3544 NW Utrecht [funda]","307500","23 juni 2020"
"Verkocht: Pablo (Bouwnr. 3) 3544 NW Utrecht [funda]","334500","23 juni 2020"
"Verkocht: Pablo (Bouwnr. 28) 3544 NW Utrecht [funda]","337000","25 juni 2020"
"Verkocht: Oudegracht 244 3511 NT Utrecht [funda]","825000","25 mei 2020"
"Verkocht: Ina Boudier-Bakkerlaan 40 H 3582 VA Utrecht [funda]","249000","28 mei 2020"
"Verkocht: Laan van Nieuw-Guinea 48 a 3531 JL Utrecht [funda]","249000","22 april 2020"
"Verkocht: Schouwweteringstraat 8 bis 3513 GJ Utrecht [funda]","300000","12 juni 2020"
"Verkocht: Veenhof 28 3515 EW Utrecht [funda]","175000","12 juni 2020"
"Verkocht: Herman Modedstraat 34 3553 VL Utrecht [funda]","295000","17 februari 2020"
"Verkocht: Schimmelpennincklaan 30 3571 BH Utrecht [funda]","639000","29 mei 2020"
"Verkocht: Goedestraat 110 3572 RX Utrecht [funda]","275000","26 juni 2020"
