"title","price","sold_at_date"
"Verkocht: Derde Oosterparkstraat 139 -C 1092 CS Amsterdam [funda]","795000","19 mei 2020"
"Verkocht: Orteliuskade 64 I 1057 AM Amsterdam [funda]","335000","25 juni 2020"
"Verkocht: Profiltigracht 29 II 1087 GM Amsterdam [funda]","385000","18 juni 2020"
"Verkocht: Rooseveltlaan 105 -3 1079 AH Amsterdam [funda]","699000","26 februari 2020"
"Verkocht: Van Karnebeekstraat 6 1067 RK Amsterdam [funda]","450000","12 februari 2020"
"Verkocht: Lou Jansenplein 42 I 1063 GZ Amsterdam [funda]","260000","24 juni 2020"
"Verkocht: Lou Jansenplein 42 I +PP* 1063 GZ Amsterdam [funda]","290000","24 juni 2020"
"Verkocht: Eerste Jan van der Heijdenstraat 124 hs 1072 VC Amsterdam [funda]","1350000","29 april 2020"
"Verkocht: Roerstraat 87 1078 LK Amsterdam [funda]","875000","22 mei 2020"
"Verkocht: Wijenburg 70 1082 VW Amsterdam [funda]","400000","19 juni 2020"
"Verkocht: J.J. Cremerplein 60 2 1054 TM Amsterdam [funda]","439000","20 mei 2020"
"Verkocht: Parelstraat 32 1018 AS Amsterdam [funda]","400000","26 mei 2020"
"Verkocht: Soetendaal 49 1081 BN Amsterdam [funda]","675000","25 juni 2020"
"Verkocht: Bastenakenstraat 160 1066 JG Amsterdam [funda]","700000",""
"Verkocht: Bos en Lommerplantsoen 35 E 1055 AA Amsterdam [funda]","200000","27 april 2020"
"Verkocht: Soesterberghof 5 1107 GM Amsterdam [funda]","200000","13 mei 2020"
"Verkocht: Derde Schinkelstraat 4 A 1075 TL Amsterdam [funda]","440000","15 mei 2020"
"Verkocht: Het Laagt 100 1025 GK Amsterdam [funda]","350000","15 juni 2020"
"Verkocht: Van Nijenrodeweg 33 1083 EB Amsterdam [funda]","235000","29 juni 2020"
"Verkocht: Jan van Zutphenstraat 529 1069 RS Amsterdam [funda]","400000","28 januari 2020"
"Verkocht: Lucellestraat 43 1 1055 HW Amsterdam [funda]","300000","24 juni 2020"
"Verkocht: Prinsengracht 482 HS 1017 KG Amsterdam [funda]","650000","14 mei 2020"
"Verkocht: Sporadenlaan 59 1060 MN Amsterdam [funda]","569000","28 april 2020"
"Verkocht: Recht Boomssloot 99 I 1011 CZ Amsterdam [funda]","349000","10 april 2020"
"Verkocht: Cornelis van Rijplantsoen 59 1063 MD Amsterdam [funda]","300000","18 april 2020"
"Verkocht: Van Breestraat 66 1071 ZR Amsterdam [funda]","2650000","28 januari 2020"
"Verkocht: Ernest Staesstraat 45 III 1061 CC Amsterdam [funda]","350000","28 mei 2020"
"Verkocht: Papaverweg 67 1032 KE Amsterdam [funda]","400000","22 april 2020"
"Verkocht: Amerbos 56 1025 ZN Amsterdam [funda]","225000","19 mei 2020"
"Verkocht: Biesboschstraat 38 II 1078 MV Amsterdam [funda]","550000","29 april 2020"
"Verkocht: Sarphatipark 62 BV 1073 EA Amsterdam [funda]","795000","14 mei 2020"
"Verkocht: Frans Halsstraat 98 III-IV 1072 BX Amsterdam [funda]","730000","22 februari 2020"
"Verkocht: Pracanalaan 11 1060 RC Amsterdam [funda]","420000","18 mei 2020"
"Verkocht: Eemsstraat 70 I 1079 TL Amsterdam [funda]","350000","24 juni 2020"
"Verkocht: Jacob van Lennepkade 29 -HS 1054 ZE Amsterdam [funda]","490000","23 april 2020"
"Verkocht: Weissenbruchstraat 10 II 1058 KM Amsterdam [funda]","399000","19 mei 2020"
"Verkocht: Bellamystraat 43 A-II 1053 BG Amsterdam [funda]","775000","25 april 2020"
"Verkocht: Bloys van Treslongstraat 30 -2 1056 XB Amsterdam [funda]","325000","25 mei 2020"
"Verkocht: J.J. Cremerplein 4 2 1054 TK Amsterdam [funda]","599000","21 april 2020"
"Verkocht: Leliegracht 35 1016 GS Amsterdam [funda]","2250000","26 juni 2020"
"Verkocht: Jonas Dani�l Meijerplein 17 Huis 1011 RE Amsterdam [funda]","475000",""
"Verkocht: Freek Oxstraat 25 -II 1063 ZV Amsterdam [funda]","225000","19 mei 2020"
"Verkocht: Kortenaerstraat 29 1V 1057 JM Amsterdam [funda]","275000","25 mei 2020"
"Verkocht: Pieter Calandlaan 1347 1069 RE Amsterdam [funda]","325000","30 april 2020"
"Verkocht: Ceramplein 89 1095 DE Amsterdam [funda]","550000","25 juni 2020"
"Verkocht: J.G. Suurhoffstraat 109 1067 VR Amsterdam [funda]","369000","30 april 2020"
"Verkocht: Jan van Houthof 6 1065 AJ Amsterdam [funda]","629000","23 juni 2020"
"Verkocht: Mendelhof 12 1 1098 TP Amsterdam [funda]","375000","28 mei 2020"
"Verkocht: Louis Schottingstraat 19 1068 KA Amsterdam [funda]","289000","23 juni 2020"
"Verkocht: Hestiastraat 69 2 1076 DK Amsterdam [funda]","650000","29 mei 2020"
"Verkocht: Van Tuyll van Serooskerkenweg 144 3 1076 JT Amsterdam [funda]","650000","15 mei 2020"
"Verkocht: Bovenover 91 1025 JK Amsterdam [funda]","330000","29 juni 2020"
"Verkocht: Charlotte de Bourbonstraat 29 -III 1055 WR Amsterdam [funda]","375000","29 mei 2020"
"Verkocht: Kattenburgerkruisstraat 36 1018 JR Amsterdam [funda]","550000","22 mei 2020"
"Verkocht: Van Beuningenstraat 198 B 1051 XZ Amsterdam [funda]","525000","15 juni 2020"
"Verkocht: President Allendelaan 185 1068 VM Amsterdam [funda]","400000","27 april 2020"
"Verkocht: Vondelkerkstraat 3 2 1054 KW Amsterdam [funda]","795000","22 juni 2020"
"Verkocht: Lomanstraat 5 II 1075 PS Amsterdam [funda]","575000","24 april 2020"
"Verkocht: Akersingel 66 1060 NJ Amsterdam [funda]","325000","22 juni 2020"
"Verkocht: Groen van Prinstererstraat 67 II 1051 EK Amsterdam [funda]","320000","17 juni 2020"
"Verkocht: Ruysdaelkade 91 3 1072 AM Amsterdam [funda]","300000","19 mei 2020"
"Verkocht: Ottho Heldringstraat 35 -K 1066 XT Amsterdam [funda]","450000","15 juni 2020"
"Verkocht: Voorsteven 1 1034 SK Amsterdam [funda]","245000","22 mei 2020"
"Verkocht: Biesboschstraat 18 HS 1078 MS Amsterdam [funda]","850000","23 april 2020"
"Verkocht: Schokkerspad 44 1081 KS Amsterdam [funda]","995000","25 februari 2020"
"Verkocht: Grootzeilhof 130 1034 MB Amsterdam [funda]","250000","27 mei 2020"
"Verkocht: Charlotte Bront�straat 173 1102 XC Amsterdam [funda]","190000",""
"Verkocht: P. Hans Frankfurthersingel 44 1060 TN Amsterdam [funda]","300000","27 mei 2020"
"Verkocht: Javaplein 10 F 1094 HW Amsterdam [funda]","600000","17 april 2020"
"Verkocht: Nachtwachtlaan 177 1058 EG Amsterdam [funda]","585000","10 juni 2020"
"Verkocht: Waverstraat 97 I 1079 VK Amsterdam [funda]","350000","29 juni 2020"
"Verkocht: John Franklinstraat 79 III 1056 TA Amsterdam [funda]","339000","24 juni 2020"
"Verkocht: Heemstedestraat 44 1 1058 NN Amsterdam [funda]","350000","25 mei 2020"
"Verkocht: Amstelbeststraat 6 B 1096 GD Amsterdam [funda]","485000","19 mei 2020"
"Verkocht: Rustenburgerstraat 324 II 1072 HC Amsterdam [funda]","450000","24 juni 2020"
"Verkocht: Willem Mollhof 10 1065 AH Amsterdam [funda]","525000","17 maart 2020"
"Verkocht: Lootsstraat 32 -II 1053 NZ Amsterdam [funda]","275000","18 maart 2020"
"Verkocht: Simon Stevinstraat 27 BV 1097 BX Amsterdam [funda]","800000","29 mei 2020"
"Verkocht: Veerstraat 60 2 1075 SX Amsterdam [funda]","449000","11 juni 2020"
"Verkocht: Valkenburgerstraat 192 B 1011 NC Amsterdam [funda]","479500","16 maart 2020"
"Verkocht: Tolstraat 123 -H 1074 VJ Amsterdam [funda]","700000","30 april 2020"
"Verkocht: Kattenburgerhof 48 1018 KD Amsterdam [funda]","525000","27 juni 2020"
"Verkocht: Eerste Weteringdwarsstraat 65 -H 1017 TM Amsterdam [funda]","395000","14 mei 2020"
"Verkocht: Bestev�erstraat 10 III 1056 HM Amsterdam [funda]","490000","22 april 2020"
"Verkocht: Sean MacBridestraat 20 1102 JW Amsterdam [funda]","345000",""
"Verkocht: Sluisstraat 39 III 1075 TB Amsterdam [funda]","475000","16 juni 2020"
"Verkocht: Beethovenstraat 107 D 1077 HX Amsterdam [funda]","885000","22 mei 2020"
"Verkocht: Jacob Marisstraat 24 -H 1058 HZ Amsterdam [funda]","900000","26 juni 2020"
"Verkocht: Makassarstraat 42 3 1095 SZ Amsterdam [funda]","695000","27 juni 2020"
"Verkocht: Paradijsplein 40 1093 NJ Amsterdam [funda]","595000","25 april 2020"
"Verkocht: Spaarndammerstraat 133 II 1013 TE Amsterdam [funda]","300000","25 juni 2020"
"Verkocht: Welnastraat 139 1096 GJ Amsterdam [funda]","200000","16 april 2020"
"Verkocht: Wilhelminastraat 185 III/IV 1054 WE Amsterdam [funda]","689000","19 mei 2020"
"Verkocht: Zoutberg 10 1035 KS Amsterdam [funda]","325000","29 mei 2020"
"Verkocht: Th. K. van Lohuizenlaan 270 1095 DW Amsterdam [funda]","450000","11 januari 2020"
"Verkocht: Tweede van Swindenstraat 178 -E 1093 XA Amsterdam [funda]","600000","13 mei 2020"
"Verkocht: Banne Buikslootlaan 103 1034 AB Amsterdam [funda]","325000","29 mei 2020"
"Verkocht: Erich Salomonstraat 615 1087 JA Amsterdam [funda]","695000","16 juni 2020"
"Verkocht: Heer Halewijnstraat 4 II 1055 SN Amsterdam [funda]","295000","18 februari 2020"
"Verkocht: Van Bossestraat 68 -1 1051 KB Amsterdam [funda]","285000","15 juni 2020"
"Verkocht: Javakade 184 1019 RW Amsterdam [funda]","600000","11 april 2020"
"Verkocht: Loenermark 512 1025 TT Amsterdam [funda]","300000","22 mei 2020"
"Verkocht: IJsselmeerstraat 76 B 1024 ML Amsterdam [funda]","450000","27 mei 2020"
"Verkocht: Faas Wilkesstraat 117 C 1095 MD Amsterdam [funda]","1125000","25 juni 2020"
"Verkocht: Borneolaan 263 1019 HZ Amsterdam [funda]","425000","10 april 2020"
"Verkocht: Hofgeest 107 1102 EE Amsterdam [funda]","209000","26 mei 2020"
"Verkocht: Johan Hofmanstraat 241 1069 KD Amsterdam [funda]","375000","12 mei 2020"
"Verkocht: Lucellestraat 40 -3 1055 JA Amsterdam [funda]","325000","20 mei 2020"
"Verkocht: Arent Janszoon Ernststraat 135 A 1083 GS Amsterdam [funda]","600000","15 mei 2020"
"Verkocht: Rozenstraat 254 -A 1016 PB Amsterdam [funda]","425000","16 mei 2020"
"Verkocht: Argonautenstraat 32 III 1076 KR Amsterdam [funda]","850000","29 april 2020"
"Verkocht: Mauritskade 20 B 1091 GC Amsterdam [funda]","415000","28 mei 2020"
"Verkocht: Krommeniestraat 4 M* 1013 XL Amsterdam [funda]","783080","18 maart 2020"
"Verkocht: Bombraak 17 1035 JP Amsterdam [funda]","375000","27 maart 2020"
"Verkocht: Tweede Keucheniusstraat 10 -II 1051 VR Amsterdam [funda]","275000",""
"Verkocht: Sluisstraat 26 -II 1075 TG Amsterdam [funda]","395000","18 juni 2020"
"Verkocht: Carolina MacGillavrylaan 127 1098 XA Amsterdam [funda]","575000","29 mei 2020"
"Verkocht: Sommelsdijkstraat 5 1107 WD Amsterdam [funda]","325000",""
"Verkocht: Tussendek 93 1034 TV Amsterdam [funda]","300000","26 mei 2020"
"Verkocht: Willem de Zwijgerlaan 30 H 1056 JR Amsterdam [funda]","425000","15 april 2020"
"Verkocht: Overtoom 288 hs 1054 JC Amsterdam [funda]","1000000","11 juni 2020"
"Verkocht: Valkenstein 82 1 1082 BR Amsterdam [funda]","350000",""
"Verkocht: Fregatstraat 5 1034 JK Amsterdam [funda]","602500","18 juni 2020"
"Verkocht: Texelweg 70 1025 RV Amsterdam [funda]","425000","29 juni 2020"
"Verkocht: Waalstraat 65 I 1079 DP Amsterdam [funda]","569000",""
"Verkocht: Burgemeester Cramergracht 171 1064 AM Amsterdam [funda]","255000",""
"Verkocht: Galile�plantsoen 25 -H 1098 LV Amsterdam [funda]","675000","19 juni 2020"
"Verkocht: Pieter Aertszstraat 125 III 1074 VR Amsterdam [funda]","600000","16 mei 2020"
"Verkocht: Langswater 494 1069 ED Amsterdam [funda]","250000","15 juni 2020"
"Verkocht: J.M. van der Meylaan 58 1019 ER Amsterdam [funda]","275000","15 juni 2020"
"Verkocht: Zaanstraat 321 1013 SC Amsterdam [funda]","375000","12 juni 2020"
"Verkocht: Tuinbouwstraat 39 1097 XR Amsterdam [funda]","300000","11 juni 2020"
"Verkocht: Quellijnstraat 143 C 1073 XJ Amsterdam [funda]","375000","30 april 2020"
"Verkocht: Olof Palmeplein 122 1025 WV Amsterdam [funda]","363000","15 mei 2020"
"Verkocht: Ridderspoorweg 155 1032 LL Amsterdam [funda]","350000","30 juni 2020"
"Verkocht: Rijnstraat 10 II 1078 RA Amsterdam [funda]","500000","13 mei 2020"
"Verkocht: Vrijzicht 168 1068 CK Amsterdam [funda]","375000","25 mei 2020"
"Verkocht: Kiekstraat 76 1087 JB Amsterdam [funda]","525000","12 mei 2020"
"Verkocht: Omval 423 1096 HR Amsterdam [funda]","575000","17 maart 2020"
"Verkocht: Laan van Vlaanderen 234 1066 MR Amsterdam [funda]","400000","18 mei 2020"
"Verkocht: Boutenburg 19 1068 XZ Amsterdam [funda]","250000","12 juni 2020"
"Verkocht: Gerrit van der Veenstraat 75 C 3 1077 DS Amsterdam [funda]","770000","16 mei 2020"
"Verkocht: Trijn Hullemanlaan 94 1069 PV Amsterdam [funda]","295000","15 januari 2020"
"Verkocht: Spiegelgracht 28 1017 JS Amsterdam [funda]","995000","24 juni 2020"
"Verkocht: Buitenzagerij 2 1021 NR Amsterdam [funda]","450000","31 maart 2020"
"Verkocht: Van Breestraat 51 1071 ZG Amsterdam [funda]","2780000",""
"Verkocht: Loenermark 132 1025 SM Amsterdam [funda]","250000","18 juni 2020"
"Verkocht: IJburglaan 751 1087 CH Amsterdam [funda]","675000","12 juni 2020"
"Verkocht: Kleiburg 631 1104 EA Amsterdam [funda]","317511","20 februari 2020"
"Verkocht: Ennemaborg 34 1082 SR Amsterdam [funda]","415000","25 juni 2020"
"Verkocht: Valkenstein 108 -2 1082 BR Amsterdam [funda]","375000","22 juni 2020"
"Verkocht: H. Gerhardstraat 96 1069 TD Amsterdam [funda]","425000","24 april 2020"
"Verkocht: H. Cleyndertweg 753 1025 EC Amsterdam [funda]","350000","26 mei 2020"
"Verkocht: Bilderdijkkade 19 IV 1053 VB Amsterdam [funda]","500000","26 juni 2020"
"Verkocht: Harry Koningsbergerstraat 342 1063 AN Amsterdam [funda]","235000","22 mei 2020"
"Verkocht: Stichtstraat 57 1079 RC Amsterdam [funda]","895000","28 mei 2020"
"Verkocht: Westlandgracht 77 -2 1058 TP Amsterdam [funda]","369000","26 juni 2020"
"Verkocht: Nigellestraat 12 1032 BN Amsterdam [funda]","300000","11 april 2020"
"Verkocht: Welnastraat 675 1096 GJ Amsterdam [funda]","200000","15 april 2020"
"Verkocht: Marco Polostraat 107 III 1057 WH Amsterdam [funda]","535000","22 mei 2020"
