"title","price","sold_at_date"
"Verkocht: doctor Hekmanstraat 22 3037 SJ Rotterdam [funda]","250000","25 mei 2020"
"Verkocht: Doklaan 69 B 3082 RD Rotterdam [funda]","185000","16 juni 2020"
"Verkocht: Herman Robbersstraat 106 b 3031 RL Rotterdam [funda]","260000","27 juni 2020"
"Verkocht: V.O.C.-plein 49 3024 SV Rotterdam [funda]","525000","16 november 2019"
"Verkocht: Rotterdamse Rijweg 36 3043 BL Rotterdam [funda]","545000","20 mei 2020"
"Verkocht: Korte Kromhout 33 3075 DL Rotterdam [funda]","162500","27 mei 2020"
"Verkocht: Bollenland 52 3075 DD Rotterdam [funda]","170000","22 mei 2020"
"Verkocht: Heemskerkstraat 60 B I 3038 VJ Rotterdam [funda]","215000","10 april 2020"
"Verkocht: Vredeman de Vriesstraat 96 3067 ZL Rotterdam [funda]","290000","22 juni 2020"
"Verkocht: Noorder Kerkedijk 22 3078 PA Rotterdam [funda]","285000",""
"Verkocht: Weena 1065 3013 AL Rotterdam [funda]","275000","18 mei 2020"
"Verkocht: Bergumermeer 11 3068 KN Rotterdam [funda]","259500","30 april 2020"
"Verkocht: Calandstraat 20 D 3016 CB Rotterdam [funda]","475000","22 mei 2020"
"Verkocht: Burgemeester Meineszplein 5 A 3022 XA Rotterdam [funda]","465000","15 april 2020"
"Verkocht: Librijesteeg 185 3011 HN Rotterdam [funda]","425000","11 juni 2020"
"Verkocht: Wijnhaven 65 C32 3011 WJ Rotterdam [funda]","922000","14 februari 2019"
"Verkocht: 1e Jerichostraat 23 c 3061 GC Rotterdam [funda]","315000","10 juni 2020"
